STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,43.00,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,BE,Belgium,2025,,44.08,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,BG,Bulgaria,2025,,,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,CY,Cyprus,2025,,29.03,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,CZ,Czechia,2025,,27.73,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2025,,23.58,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,DK,Denmark,2025,,48.73,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,,31.55,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,EE,Estonia,2025,,43.66,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,EL,Greece,2025,,48.94,,u,low reliability,,
