STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,SIZE_CLASS,Employment size class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7,V7 Breakdowns
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUT,Austria,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,36.912,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,BEL,Belgium,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,51.72,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,2.8,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,58.2,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,5.3,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CZE,Czechia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,39.1779,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,DNK,Denmark,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,62.296099999999996,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,EST,Estonia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,57.978300000000004,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,FIN,Finland,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,84.2257,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,FRA,France,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2021,,26.9098,,A,Normal value,,,,,0,Units,,,2,Two,MAN,MAN
