STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ASSET_CODE,Asset type,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,OECD,OECD,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2020,,4.298501239785191,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,OECD,OECD,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2019,,1.3755767332572555,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2021,,41.930578481706014,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,-12.45853898947763,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2024,,-3.9035230013710565,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,ROU,Romania,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,3.824343307686595,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,ROU,Romania,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2022,,67.62908474520722,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,1.2219340055018124,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,-5.186803444338373,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,-8.137501864563234,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2022,,38.518476875935036,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2023,,37.73446006704717,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2023,,-2.035430454358611,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2023,,66.4847486929269,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2023,,-4.1985214731311675,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2021,,65.00865656966317,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,ROU,Romania,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,1.7205788883536632,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,ROU,Romania,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,-0.7641467611692265,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,C,Manufacturing,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,0.09427445279297508,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2020,,63.71285632587399,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2019,,58.80584463456032,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,8.344428554351225,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,1.1550456951337384,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,2.4807567525358953,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2022,,66.49559955073508,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2023,,66.57650822996895,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2023,,0.12167523833233052,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,AUT,Austria,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2021,,64.88593728021006,,A,Normal value,0,Units,2020,,2,Two
