ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,Exposure gradient: Total,2021,7679.474,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,"Exposure gradient: 4 - Highest exposure, low task 
variability",2021,2.385,Unreliable,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,"Exposure gradient: 3 - Significant exposure, high 
task variability",2021,29.094,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,"Exposure gradient: 2 - Moderate exposure, high 
task variability",2021,720.246,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,"Exposure gradient: 1 - Low exposure, high task 
variability",2021,329.742,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,"Exposure gradient: Minimal exposure, 
moderate task variability",2021,258.223,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Total,Exposure gradient: X - Not elsewhere classified,2021,6339.784,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Male,Exposure gradient: Total,2021,5850.428,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Male,"Exposure gradient: 4 - Highest exposure, low task 
variability",2021,2.385,Unreliable,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Male,"Exposure gradient: 3 - Significant exposure, high 
task variability",2021,29.094,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Employment by sex and generative AI exposure (thousands),Male,"Exposure gradient: 2 - Moderate exposure, high 
task variability",2021,715.599,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
