STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,43.00,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,EE,Estonia,2025,,43.66,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,AT,Austria,2025,,44.35,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,EE,Estonia,2025,,46.75,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND,Percentage of individuals,AT,Austria,2025,,12.87,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND,Percentage of individuals,CZ,Czechia,2025,,2.00,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,AT,Austria,2025,,13.28,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,CZ,Czechia,2025,,2.24,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,AT,Austria,2025,,29.94,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIFE,Use of generative AI tools: for formal education,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,CZ,Czechia,2025,,7.21,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND,Percentage of individuals,AT,Austria,2025,,33.43,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND,Percentage of individuals,CZ,Czechia,2025,,24.95,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,AT,Austria,2025,,34.49,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,CZ,Czechia,2025,,27.99,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,AT,Austria,2025,,77.75,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIPR,Use of generative AI tools: for private purposes,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,CZ,Czechia,2025,,89.99,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIWP,Use of generative AI tools: for professional (work) purposes,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,AT,Austria,2025,,24.37,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIWP,Use of generative AI tools: for professional (work) purposes,PC_IND_IU3,Percentage of individuals who used internet in the last 3 months,CZ,Czechia,2025,,19.02,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIWP,Use of generative AI tools: for professional (work) purposes,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,AT,Austria,2025,,54.93,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EU_FOR,Individuals who are born in another EU Member State,I_IUAIWP,Use of generative AI tools: for professional (work) purposes,PC_IND_IUAI,Percentage of individuals who have used any generative AI tools in the last 3 months,CZ,Czechia,2025,,61.14,,u,low reliability,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_EXT_EU,Individuals who are born in non-EU country,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,41.71,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_FOR,Individuals who are foreign-born,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,42.26,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CB_NAT,Individuals who are native-born,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,38.48,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CC_EU_FOR,Nationals of another EU-Member State,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,44.72,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CC_EXT_EU,Nationals of non-EU country,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,43.96,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CC_FOR,Non-nationals,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,44.35,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,CC_NAT,Nationals,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,38.10,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,EMPL_UNE,Individuals in the labour force (employed and unemployed),I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,43.98,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I0_2,Females with low formal education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,22.91,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I0_2_75_89,Females 75-89 with no or low education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,0,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I3_4,Females with medium formal education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,31.49,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I3_4_75_89,Females 75-89 with medium education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,0.66,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I5_8,Females with high formal education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,53.39,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_I5_8_75_89,Females 75-89 with high education,I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,BE,Belgium,2025,,2.78,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_Y16_19,"Females, 16 to 19 years old",I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,82.61,,,,,
dataflow,ESTAT:ISOC_AI_IAIU(1.0),Individuals - use of generative AI tools,A,Annual,F_Y16_24,"Females, 16 to 24 years old",I_IUAI,Use of generative AI tools: in the last 3 months,PC_IND,Percentage of individuals,AT,Austria,2025,,77.94,,,,,
